Último: Tiempo (s)	Últim: Campo magnético (mT)
0	0,11817976234
0,05	0,121500885587
0,1	0,12013336425
0,15	0,12013336425
0,2	0,119547283677
0,25	0,118961203104
0,3	0,119938004059
0,35	0,120914805014
0,4	0,11817976234
0,45	0,118961203104
0,5	0,119938004059
0,55	0,119742643868
0,6	0,119742643868
0,65	0,119742643868
0,7	0,116812241003
0,75	0,119938004059
0,8	0,119547283677
0,85	0,119547283677
0,9	0,118375122531
0,95	0,118375122531
1	0,119938004059
1,05	0,119938004059
1,1	0,118570482722
1,15	0,12013336425
1,2	0,119156563295
1,25	0,119156563295
1,3	0,120719444823
1,35	0,119351923486
1,4	0,117984402149
1,45	0,120328724441
1,5	0,119938004059
1,55	0,119938004059
1,6	0,120328724441
1,65	0,121110165205
1,7	0,119938004059
1,75	0,119938004059
1,8	0,120914805014
1,85	0,12013336425
1,9	0,117984402149
1,95	0,12013336425
2	0,121891605969
2,05	0,117984402149
2,1	0,119742643868
2,15	0,119547283677
2,2	0,119547283677
2,25	0,121110165205
2,3	0,117398321576
2,35	0,118765842913
2,4	0,119547283677
2,45	0,120328724441
2,5	0,119156563295
2,55	0,119938004059
2,6	0,119742643868
2,65	0,117398321576
2,7	0,120328724441
