"Último: Tiempo (s)";"Último: Campo magnético (mT)"
0;0,0228439891353
0,05;0,0173739037875
0,1;0,0214764677984
0,15;0,0179599843605
0,2;0,0234300697083
0,25;0,0175692639785
0,3;0,0203043066524
0,35;0,0179599843605
0,4;0,0218671881803
0,45;0,0177646241695
0,5;0,0226486289443
0,55;0,0171785435965
0,6;0,0220625483713
0,65;0,0165924630235
0,7;0,0222579085623
0,75;0,0162017426415
0,8;0,0218671881803
0,85;0,0163971028325
0,9;0,0210857474164
0,95;0,0187414251244
1;0,0230393493263
1,05;0,0163971028325
1,1;0,0234300697083
1,15;0,0156156620685
1,2;0,0232347095173
1,25;0,0165924630235
1,3;0,0228439891353
1,35;0,0185460649334
1,4;0,0222579085623
1,45;0,0171785435965
1,5;0,0204996668434
1,55;0,0160063824505
1,6;0,0218671881803
1,65;0,0158110222595
1,7;0,0212811076074
1,75;0,0148342213046
1,8;0,0228439891353
1,85;0,0150295814956
1,9;0,0226486289443
1,95;0,0158110222595
2;0,0210857474164
2,05;0,0154203018776
2,1;0,0210857474164
2,15;0,0156156620685
2,2;0,0212811076074
2,25;0,0152249416866
2,3;0,0230393493263
2,35;0,0150295814956
2,4;0,0208903872254
2,45;0,0158110222595
2,5;0,0224532687533
2,55;0,0160063824505
