Tiempo:(s)	B5:(cm)		
0	0,418253015706		0,41835261109749
0,05	0,418448375897		
0,1	0,418253015706		
0,15	0,418643736088		0,41839953584925
0,2	0,418253015706		
0,25	0,418448375897		
0,3	0,418253015706		
0,35	0,418448375897		
0,4	0,418057655515		
0,45	0,418448375897		
0,5	0,418253015706		
0,55	0,418643736088		
0,6	0,418253015706		
0,65	0,418253015706		
0,7	0,418253015706		
0,75	0,418643736088		
0,8	0,418448375897		
0,85	0,418448375897		
0,9	0,418253015706		
0,95	0,418448375897		
1	0,418253015706		
1,05	0,418448375897		
1,1	0,418253015706		
1,15	0,418448375897		
1,2	0,418448375897		
1,25	0,418448375897		
1,3	0,418057655515		
1,35	0,418643736088		
1,4	0,418253015706		
1,45	0,418448375897		
1,5	0,418253015706		
1,55	0,418448375897		
1,6	0,418057655515		
1,65	0,418448375897		
1,7	0,418448375897		
1,75	0,418643736088		
1,8	0,418253015706		
1,85	0,418448375897		
1,9	0,418057655515		
1,95	0,418643736088		
2	0,418253015706		
2,05	0,418448375897		
2,1	0,418448375897		
2,15	0,418253015706		
2,2	0,418253015706		
2,25	0,418253015706		
2,3	0,418057655515		
2,35	0,418448375897		
2,4	0,418253015706		
2,45	0,418253015706		
2,5	0,418253015706		
